Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
What is 12% of 150?,8,38,18,33,C,12% of 150 = (12/100) × 150 = 18.,Math / Mathematics,Percentage
What is 6664 + 9935?,16599,16589,16594,16609,A,6664 + 9935 = 16599.,Math / Mathematics,Addition
What is 49 × 41?,2009,2019,1999,2008,A,49 × 41 = 2009.,Math / Mathematics,Multiplication
What is 96.6 - 27.21?,69.89,70.39,69.29,69.39,D,96.6 - 27.21 = 69.39.,Math / Mathematics,Decimals
What is 7308 + 2176?,9482,9486,9484,9483,C,7308 + 2176 = 9484.,Math / Mathematics,Addition
Which symbol correctly compares -174 and -402? (-174 ___ -402),>,=,<,≥,A,-174 > -402.,Math / Mathematics,Comparison
What is 97 × 39?,3744,3822,3880,3783,D,97 × 39 = 3783.,Math / Mathematics,Multiplication
What is 4098 + 4411?,8509,8510,8504,8511,A,4098 + 4411 = 8509.,Math / Mathematics,Addition
What is 434 ÷ 31?,14,16,19,18,A,"434 ÷ 31 = 14, since 31 × 14 = 434.",Math / Mathematics,Division
What is 7323 - 3857?,3468,3464,3465,3466,D,7323 - 3857 = 3466.,Math / Mathematics,Subtraction
Which symbol correctly compares 368 and -493? (368 ___ -493),≥,=,>,<,C,368 > -493.,Math / Mathematics,Comparison
What is 5% of 1000?,50,60,30,55,A,5% of 1000 = (5/100) × 1000 = 50.,Math / Mathematics,Percentage
What is 8883 + 3415?,12308,12293,12298,12297,C,8883 + 3415 = 12298.,Math / Mathematics,Addition
What is 2128 ÷ 28?,71,79,75,76,D,"2128 ÷ 28 = 76, since 28 × 76 = 2128.",Math / Mathematics,Division
Solve for x: 6x + (11) = -7,0,-3,-5,-1,B,"6x = -7 - (11) = -18, so x = -18/6 = -3.",Math / Mathematics,Equations
Which symbol correctly compares -276 and 85? (-276 ___ 85),≥,>,=,<,D,-276 < 85.,Math / Mathematics,Comparison
What is 7/2 + 5/10 (in simplest form)?,5/2,4/1,6/2,2/2,B,7/2 + 5/10 = 4 = 4/1 in simplest form.,Math / Mathematics,Fractions
What is 168.4 + 116.85?,285.15,285.25,286.25,287.25,B,168.4 + 116.85 = 285.25.,Math / Mathematics,Decimals
Which symbol correctly compares 232 and 206? (232 ___ 206),≥,=,<,>,D,232 > 206.,Math / Mathematics,Comparison
Which symbol correctly compares 138 and -353? (138 ___ -353),=,>,≥,<,B,138 > -353.,Math / Mathematics,Comparison
What is 9/12 + 4/2 (in simplest form)?,9/5,12/6,11/4,13/4,C,9/12 + 4/2 = 11/4 = 11/4 in simplest form.,Math / Mathematics,Fractions
What is 1/7 + 7/3 (in simplest form)?,50/22,54/20,52/21,51/21,C,1/7 + 7/3 = 52/21 = 52/21 in simplest form.,Math / Mathematics,Fractions
Solve for x: 6x + (46) = 46,-4,4,0,1,C,"6x = 46 - (46) = 0, so x = 0/6 = 0.",Math / Mathematics,Equations
Solve for x: 6x + (-37) = -7,2,6,5,7,C,"6x = -7 - (-37) = 30, so x = 30/6 = 5.",Math / Mathematics,Equations
What is 18.94 + 162.03?,180.97,182.97,181.97,179.97,A,18.94 + 162.03 = 180.97.,Math / Mathematics,Decimals
What is 2278 - 1157?,1111,1126,1131,1121,D,2278 - 1157 = 1121.,Math / Mathematics,Subtraction
What is 38.6 + 88.97?,127.57,127.47,126.57,129.57,A,38.6 + 88.97 = 127.57.,Math / Mathematics,Decimals
What is 261 ÷ 29?,9,12,13,14,A,"261 ÷ 29 = 9, since 29 × 9 = 261.",Math / Mathematics,Division
Which symbol correctly compares -114 and -357? (-114 ___ -357),<,≥,=,>,D,-114 > -357.,Math / Mathematics,Comparison
What is 4/9 + 9/2 (in simplest form)?,87/17,90/19,87/18,89/18,D,4/9 + 9/2 = 89/18 = 89/18 in simplest form.,Math / Mathematics,Fractions
What is 858 - 607?,256,251,261,246,B,858 - 607 = 251.,Math / Mathematics,Subtraction
What is 20.3 - 11.36?,8.44,10.94,8.84,8.94,D,20.3 - 11.36 = 8.94.,Math / Mathematics,Decimals
What is 2250 ÷ 15?,150,151,155,152,A,"2250 ÷ 15 = 150, since 15 × 150 = 2250.",Math / Mathematics,Division
Solve for x: 5x + (-40) = -30,6,-1,2,-2,C,"5x = -30 - (-40) = 10, so x = 10/5 = 2.",Math / Mathematics,Equations
What is 137.0 + 151.95?,289.05,287.95,289.95,288.95,D,137.0 + 151.95 = 288.95.,Math / Mathematics,Decimals
What is 6939 + 2613?,9554,9572,9552,9551,C,6939 + 2613 = 9552.,Math / Mathematics,Addition
What is 9068 + 3828?,12897,12896,12886,12916,B,9068 + 3828 = 12896.,Math / Mathematics,Addition
What is 2/5 + 7/3 (in simplest form)?,41/15,40/15,43/15,42/16,A,2/5 + 7/3 = 41/15 = 41/15 in simplest form.,Math / Mathematics,Fractions
What is 2 × 2?,4,14,2,6,A,2 × 2 = 4.,Math / Mathematics,Multiplication
What is 76 ÷ 2?,41,38,36,42,B,"76 ÷ 2 = 38, since 2 × 38 = 76.",Math / Mathematics,Division
What is 99 × 55?,5455,5445,5500,5346,B,99 × 55 = 5445.,Math / Mathematics,Multiplication
What is 1/4 + 7/11 (in simplest form)?,38/46,39/44,37/45,41/43,B,1/4 + 7/11 = 39/44 = 39/44 in simplest form.,Math / Mathematics,Fractions
Solve for x: 8x + (50) = -86,-14,-15,-17,-20,C,"8x = -86 - (50) = -136, so x = -136/8 = -17.",Math / Mathematics,Equations
What is 7/10 + 8/9 (in simplest form)?,142/89,141/92,144/92,143/90,D,7/10 + 8/9 = 143/90 = 143/90 in simplest form.,Math / Mathematics,Fractions
What is 25 × 31?,776,775,750,806,B,25 × 31 = 775.,Math / Mathematics,Multiplication
What is 8/7 + 5/2 (in simplest form)?,51/14,50/14,53/16,49/13,A,8/7 + 5/2 = 51/14 = 51/14 in simplest form.,Math / Mathematics,Fractions
What is 2/7 + 4/5 (in simplest form)?,40/37,37/37,37/36,38/35,D,2/7 + 4/5 = 38/35 = 38/35 in simplest form.,Math / Mathematics,Fractions
What is 90% of 910?,804,814,819,839,C,90% of 910 = (90/100) × 910 = 819.,Math / Mathematics,Percentage
What is 4429 + 4848?,9277,9297,9282,9267,A,4429 + 4848 = 9277.,Math / Mathematics,Addition
What is 6055 - 4774?,1283,1281,1280,1286,B,6055 - 4774 = 1281.,Math / Mathematics,Subtraction
What is 32 × 54?,1696,1782,1728,1727,C,32 × 54 = 1728.,Math / Mathematics,Multiplication
What is 2147 - 2094?,48,55,53,63,C,2147 - 2094 = 53.,Math / Mathematics,Subtraction
What is 132.16 - 17.03?,117.13,115.03,115.13,113.13,C,132.16 - 17.03 = 115.13.,Math / Mathematics,Decimals
What is 9 × 95?,853,855,854,846,B,9 × 95 = 855.,Math / Mathematics,Multiplication
What is 3820 + 455?,4280,4275,4295,4255,B,3820 + 455 = 4275.,Math / Mathematics,Addition
What is 80% of 1720?,1371,1396,1376,1386,C,80% of 1720 = (80/100) × 1720 = 1376.,Math / Mathematics,Percentage
What is 890 - 521?,359,369,364,349,B,890 - 521 = 369.,Math / Mathematics,Subtraction
What is 74.98 + 178.03?,255.01,251.01,253.01,254.01,C,74.98 + 178.03 = 253.01.,Math / Mathematics,Decimals
What is 1117 - 924?,193,188,192,194,A,1117 - 924 = 193.,Math / Mathematics,Subtraction
What is 5265 ÷ 27?,195,191,194,200,A,"5265 ÷ 27 = 195, since 27 × 195 = 5265.",Math / Mathematics,Division
What is 5/8 + 4/10 (in simplest form)?,39/42,39/39,43/41,41/40,D,5/8 + 4/10 = 41/40 = 41/40 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 327 and 383? (327 ___ 383),<,=,>,≥,A,327 < 383.,Math / Mathematics,Comparison
What is 8667 + 5313?,13985,13975,13980,13970,C,8667 + 5313 = 13980.,Math / Mathematics,Addition
What is 73.5 + 15.94?,89.94,89.34,90.44,89.44,D,73.5 + 15.94 = 89.44.,Math / Mathematics,Decimals
What is 76.18 + 107.8?,184.48,184.08,181.98,183.98,D,76.18 + 107.8 = 183.98.,Math / Mathematics,Decimals
Solve for x: 9x + (18) = 171,19,15,17,13,C,"9x = 171 - (18) = 153, so x = 153/9 = 17.",Math / Mathematics,Equations
Which symbol correctly compares -312 and -321? (-312 ___ -321),>,≥,=,<,A,-312 > -321.,Math / Mathematics,Comparison
What is 1636 + 5133?,6774,6779,6769,6767,C,1636 + 5133 = 6769.,Math / Mathematics,Addition
Solve for x: 6x + (8) = 20,0,2,1,6,B,"6x = 20 - (8) = 12, so x = 12/6 = 2.",Math / Mathematics,Equations
What is 1872 ÷ 13?,147,144,143,149,B,"1872 ÷ 13 = 144, since 13 × 144 = 1872.",Math / Mathematics,Division
Which symbol correctly compares 406 and -385? (406 ___ -385),≥,>,=,<,B,406 > -385.,Math / Mathematics,Comparison
What is 89.67 - 41.42?,48.35,49.25,48.15,48.25,D,89.67 - 41.42 = 48.25.,Math / Mathematics,Decimals
What is 50% of 210?,105,90,110,95,A,50% of 210 = (50/100) × 210 = 105.,Math / Mathematics,Percentage
What is 3920 ÷ 40?,94,96,95,98,D,"3920 ÷ 40 = 98, since 40 × 98 = 3920.",Math / Mathematics,Division
What is 40% of 860?,324,359,334,344,D,40% of 860 = (40/100) × 860 = 344.,Math / Mathematics,Percentage
What is 2540 - 2045?,496,475,495,500,C,2540 - 2045 = 495.,Math / Mathematics,Subtraction
Solve for x: 8x + (-37) = 43,6,11,14,10,D,"8x = 43 - (-37) = 80, so x = 80/8 = 10.",Math / Mathematics,Equations
What is 4980 + 4665?,9645,9655,9665,9625,A,4980 + 4665 = 9645.,Math / Mathematics,Addition
What is 7856 - 78?,7768,7777,7778,7776,C,7856 - 78 = 7778.,Math / Mathematics,Subtraction
Solve for x: 6x + (-36) = 60,14,13,16,19,C,"6x = 60 - (-36) = 96, so x = 96/6 = 16.",Math / Mathematics,Equations
What is 7560 ÷ 40?,190,193,184,189,D,"7560 ÷ 40 = 189, since 40 × 189 = 7560.",Math / Mathematics,Division
Which symbol correctly compares -448 and -428? (-448 ___ -428),≥,<,>,=,B,-448 < -428.,Math / Mathematics,Comparison
What is 5114 - 1454?,3659,3660,3662,3650,B,5114 - 1454 = 3660.,Math / Mathematics,Subtraction
What is 7/11 + 9/4 (in simplest form)?,125/45,127/44,126/44,126/45,B,7/11 + 9/4 = 127/44 = 127/44 in simplest form.,Math / Mathematics,Fractions
What is 1557 ÷ 9?,178,170,173,176,C,"1557 ÷ 9 = 173, since 9 × 173 = 1557.",Math / Mathematics,Division
What is 6/5 + 9/12 (in simplest form)?,40/22,38/19,38/21,39/20,D,6/5 + 9/12 = 39/20 = 39/20 in simplest form.,Math / Mathematics,Fractions
What is 750 ÷ 30?,24,30,29,25,D,"750 ÷ 30 = 25, since 30 × 25 = 750.",Math / Mathematics,Division
What is 175.22 - 132.74?,42.58,42.98,43.48,42.48,D,175.22 - 132.74 = 42.48.,Math / Mathematics,Decimals
What is 3190 ÷ 29?,115,110,112,105,B,"3190 ÷ 29 = 110, since 29 × 110 = 3190.",Math / Mathematics,Division
What is 4 × 92?,368,370,358,378,A,4 × 92 = 368.,Math / Mathematics,Multiplication
What is 7088 - 3537?,3553,3550,3551,3531,C,7088 - 3537 = 3551.,Math / Mathematics,Subtraction
Which symbol correctly compares -387 and 297? (-387 ___ 297),≥,<,>,=,B,-387 < 297.,Math / Mathematics,Comparison
What is 9/5 + 7/4 (in simplest form)?,70/22,73/20,71/20,73/19,C,9/5 + 7/4 = 71/20 = 71/20 in simplest form.,Math / Mathematics,Fractions
What is 10% of 1320?,152,132,117,137,B,10% of 1320 = (10/100) × 1320 = 132.,Math / Mathematics,Percentage
What is 798 - 39?,754,759,758,761,B,798 - 39 = 759.,Math / Mathematics,Subtraction
Which symbol correctly compares 137 and -493? (137 ___ -493),>,<,=,≥,A,137 > -493.,Math / Mathematics,Comparison
What is 6382 - 450?,5937,5933,5932,5942,C,6382 - 450 = 5932.,Math / Mathematics,Subtraction
Solve for x: 10x + (-6) = -46,-4,0,-8,-5,A,"10x = -46 - (-6) = -40, so x = -40/10 = -4.",Math / Mathematics,Equations
What is 1833 ÷ 47?,40,34,39,44,C,"1833 ÷ 47 = 39, since 47 × 39 = 1833.",Math / Mathematics,Division
What is 194.8 - 181.15?,13.65,13.55,15.65,14.65,A,194.8 - 181.15 = 13.65.,Math / Mathematics,Decimals
What is 7/11 + 5/10 (in simplest form)?,27/22,27/23,26/22,25/22,D,7/11 + 5/10 = 25/22 = 25/22 in simplest form.,Math / Mathematics,Fractions
What is 68.33 + 145.67?,215.00,214.50,214.00,213.90,C,68.33 + 145.67 = 214.00.,Math / Mathematics,Decimals
What is 65 × 69?,4483,4484,4486,4485,D,65 × 69 = 4485.,Math / Mathematics,Multiplication
What is 168.71 + 24.47?,195.18,193.28,191.18,193.18,D,168.71 + 24.47 = 193.18.,Math / Mathematics,Decimals
What is 209 + 351?,560,540,570,561,A,209 + 351 = 560.,Math / Mathematics,Addition
Solve for x: 4x + (19) = 83,18,16,19,14,B,"4x = 83 - (19) = 64, so x = 64/4 = 16.",Math / Mathematics,Equations
What is 20% of 1860?,357,372,382,352,B,20% of 1860 = (20/100) × 1860 = 372.,Math / Mathematics,Percentage
What is 5053 ÷ 31?,161,167,163,160,C,"5053 ÷ 31 = 163, since 31 × 163 = 5053.",Math / Mathematics,Division
What is 5908 + 5603?,11501,11511,11491,11510,B,5908 + 5603 = 11511.,Math / Mathematics,Addition
Which symbol correctly compares 450 and 177? (450 ___ 177),<,=,>,≥,C,450 > 177.,Math / Mathematics,Comparison
What is 117.32 - 49.0?,67.82,66.32,68.32,67.32,C,117.32 - 49.0 = 68.32.,Math / Mathematics,Decimals
What is 2363 ÷ 17?,138,134,143,139,D,"2363 ÷ 17 = 139, since 17 × 139 = 2363.",Math / Mathematics,Division
What is 3243 ÷ 47?,65,71,69,67,C,"3243 ÷ 47 = 69, since 47 × 69 = 3243.",Math / Mathematics,Division
What is 2848 + 9763?,12613,12610,12611,12631,C,2848 + 9763 = 12611.,Math / Mathematics,Addition
What is 8466 + 2193?,10661,10669,10659,10664,C,8466 + 2193 = 10659.,Math / Mathematics,Addition
What is 2004 ÷ 12?,172,171,163,167,D,"2004 ÷ 12 = 167, since 12 × 167 = 2004.",Math / Mathematics,Division
What is 15% of 500?,65,70,75,80,C,15% of 500 = (15/100) × 500 = 75.,Math / Mathematics,Percentage
What is 96 × 91?,8738,8736,8832,8734,B,96 × 91 = 8736.,Math / Mathematics,Multiplication
What is 3437 - 804?,2633,2628,2643,2631,A,3437 - 804 = 2633.,Math / Mathematics,Subtraction
What is 12% of 800?,111,116,96,91,C,12% of 800 = (12/100) × 800 = 96.,Math / Mathematics,Percentage
What is 44.86 - 25.18?,21.68,19.58,19.78,19.68,D,44.86 - 25.18 = 19.68.,Math / Mathematics,Decimals
Solve for x: 12x + (-13) = 35,3,1,4,8,C,"12x = 35 - (-13) = 48, so x = 48/12 = 4.",Math / Mathematics,Equations
What is 40% of 1140?,471,456,466,436,B,40% of 1140 = (40/100) × 1140 = 456.,Math / Mathematics,Percentage
What is 4/12 + 1/5 (in simplest form)?,10/16,6/17,9/15,8/15,D,4/12 + 1/5 = 8/15 = 8/15 in simplest form.,Math / Mathematics,Fractions
What is 9558 + 364?,9922,9921,9932,9920,A,9558 + 364 = 9922.,Math / Mathematics,Addition
What is 5632 ÷ 44?,129,125,123,128,D,"5632 ÷ 44 = 128, since 44 × 128 = 5632.",Math / Mathematics,Division
What is 41 × 51?,2092,2050,2091,2040,C,41 × 51 = 2091.,Math / Mathematics,Multiplication
What is 1746 - 457?,1269,1287,1289,1290,C,1746 - 457 = 1289.,Math / Mathematics,Subtraction
What is 90% of 890?,806,786,816,801,D,90% of 890 = (90/100) × 890 = 801.,Math / Mathematics,Percentage
What is 5289 - 3923?,1366,1376,1364,1367,A,5289 - 3923 = 1366.,Math / Mathematics,Subtraction
What is 5835 + 3813?,9646,9658,9650,9648,D,5835 + 3813 = 9648.,Math / Mathematics,Addition
What is 5640 - 4831?,810,789,804,809,D,5640 - 4831 = 809.,Math / Mathematics,Subtraction
Which symbol correctly compares 209 and -449? (209 ___ -449),≥,<,>,=,C,209 > -449.,Math / Mathematics,Comparison
What is 7513 - 1656?,5837,5857,5856,5855,B,7513 - 1656 = 5857.,Math / Mathematics,Subtraction
What is 145.56 - 47.5?,97.96,98.56,96.06,98.06,D,145.56 - 47.5 = 98.06.,Math / Mathematics,Decimals
What is 30.07 + 72.2?,101.27,100.27,102.27,101.77,C,30.07 + 72.2 = 102.27.,Math / Mathematics,Decimals
What is 7134 + 6808?,13952,13942,13962,13941,B,7134 + 6808 = 13942.,Math / Mathematics,Addition
What is 3475 - 1148?,2327,2307,2337,2317,A,3475 - 1148 = 2327.,Math / Mathematics,Subtraction
What is 1312 - 738?,574,554,572,594,A,1312 - 738 = 574.,Math / Mathematics,Subtraction
What is 1830 - 703?,1147,1132,1127,1129,C,1830 - 703 = 1127.,Math / Mathematics,Subtraction
What is 96 × 93?,8918,9024,8928,8926,C,96 × 93 = 8928.,Math / Mathematics,Multiplication
Which symbol correctly compares 450 and 450? (450 ___ 450),>,=,≥,<,B,450 = 450.,Math / Mathematics,Comparison
What is 1242 ÷ 46?,30,28,26,27,D,"1242 ÷ 46 = 27, since 46 × 27 = 1242.",Math / Mathematics,Division
What is 6/7 + 6/7 (in simplest form)?,14/9,12/7,11/9,11/7,B,6/7 + 6/7 = 12/7 = 12/7 in simplest form.,Math / Mathematics,Fractions
What is 7732 + 8386?,16108,16119,16118,16116,C,7732 + 8386 = 16118.,Math / Mathematics,Addition
What is 49.98 + 9.91?,60.89,59.89,57.89,59.39,B,49.98 + 9.91 = 59.89.,Math / Mathematics,Decimals
What is 30% of 730?,239,204,229,219,D,30% of 730 = (30/100) × 730 = 219.,Math / Mathematics,Percentage
What is 15% of 180?,47,27,12,42,B,15% of 180 = (15/100) × 180 = 27.,Math / Mathematics,Percentage
What is 9/11 + 8/12 (in simplest form)?,49/33,47/33,50/33,47/34,A,9/11 + 8/12 = 49/33 = 49/33 in simplest form.,Math / Mathematics,Fractions
What is 60 × 16?,900,960,959,958,B,60 × 16 = 960.,Math / Mathematics,Multiplication
Solve for x: 11x + (-39) = 159,17,16,22,18,D,"11x = 159 - (-39) = 198, so x = 198/11 = 18.",Math / Mathematics,Equations
What is 60% of 1130?,668,698,678,663,C,60% of 1130 = (60/100) × 1130 = 678.,Math / Mathematics,Percentage
What is 8954 + 337?,9296,9289,9311,9291,D,8954 + 337 = 9291.,Math / Mathematics,Addition
Which symbol correctly compares 88 and 252? (88 ___ 252),>,<,≥,=,B,88 < 252.,Math / Mathematics,Comparison
What is 3778 - 3434?,334,354,349,344,D,3778 - 3434 = 344.,Math / Mathematics,Subtraction
What is 61 × 84?,5063,5124,5126,5122,B,61 × 84 = 5124.,Math / Mathematics,Multiplication
What is 110.92 - 51.27?,59.65,60.65,58.65,60.15,A,110.92 - 51.27 = 59.65.,Math / Mathematics,Decimals
What is 2/3 + 2/4 (in simplest form)?,9/7,7/6,8/6,5/7,B,2/3 + 2/4 = 7/6 = 7/6 in simplest form.,Math / Mathematics,Fractions
What is 60% of 1720?,1042,1032,1022,1052,B,60% of 1720 = (60/100) × 1720 = 1032.,Math / Mathematics,Percentage
What is 6384 + 3298?,9684,9680,9682,9683,C,6384 + 3298 = 9682.,Math / Mathematics,Addition
What is 90% of 1470?,1308,1343,1323,1318,C,90% of 1470 = (90/100) × 1470 = 1323.,Math / Mathematics,Percentage
Which symbol correctly compares -188 and -429? (-188 ___ -429),≥,>,<,=,B,-188 > -429.,Math / Mathematics,Comparison
What is 17 × 16?,262,272,270,255,B,17 × 16 = 272.,Math / Mathematics,Multiplication
What is 165.5 + 99.83?,266.33,265.43,265.33,264.83,C,165.5 + 99.83 = 265.33.,Math / Mathematics,Decimals
What is 5410 + 3652?,9052,9062,9067,9063,B,5410 + 3652 = 9062.,Math / Mathematics,Addition
What is 80% of 780?,629,634,624,614,C,80% of 780 = (80/100) × 780 = 624.,Math / Mathematics,Percentage
Which symbol correctly compares 313 and -411? (313 ___ -411),≥,=,<,>,D,313 > -411.,Math / Mathematics,Comparison
What is 9 × 12?,108,96,118,107,A,9 × 12 = 108.,Math / Mathematics,Multiplication
What is 50 × 99?,4950,4900,4851,4951,A,50 × 99 = 4950.,Math / Mathematics,Multiplication
Solve for x: 6x + (3) = -57,-10,-7,-12,-9,A,"6x = -57 - (3) = -60, so x = -60/6 = -10.",Math / Mathematics,Equations
What is 2/2 + 9/12 (in simplest form)?,5/4,9/4,9/6,7/4,D,2/2 + 9/12 = 7/4 = 7/4 in simplest form.,Math / Mathematics,Fractions
What is 25% of 40?,15,10,0,30,B,25% of 40 = (25/100) × 40 = 10.,Math / Mathematics,Percentage
What is 1087 - 59?,1033,1029,1028,1026,C,1087 - 59 = 1028.,Math / Mathematics,Subtraction
Which symbol correctly compares 86 and 445? (86 ___ 445),>,<,=,≥,B,86 < 445.,Math / Mathematics,Comparison
Solve for x: 7x + (34) = 41,4,1,-3,2,B,"7x = 41 - (34) = 7, so x = 7/7 = 1.",Math / Mathematics,Equations
What is 12% of 590?,86,51,56,71,D,12% of 590 = (12/100) × 590 = 71.,Math / Mathematics,Percentage
What is 5735 + 4344?,10089,10080,10079,10099,C,5735 + 4344 = 10079.,Math / Mathematics,Addition
What is 3311 - 2123?,1183,1190,1168,1188,D,3311 - 2123 = 1188.,Math / Mathematics,Subtraction
Which symbol correctly compares -33 and -366? (-33 ___ -366),>,<,≥,=,A,-33 > -366.,Math / Mathematics,Comparison
Solve for x: 3x + (-5) = 7,8,0,4,2,C,"3x = 7 - (-5) = 12, so x = 12/3 = 4.",Math / Mathematics,Equations
What is 15% of 810?,137,132,122,102,C,15% of 810 = (15/100) × 810 = 122.,Math / Mathematics,Percentage
What is 2812 - 1875?,932,942,937,947,C,2812 - 1875 = 937.,Math / Mathematics,Subtraction
Solve for x: 2x + (-22) = -4,12,11,9,8,C,"2x = -4 - (-22) = 18, so x = 18/2 = 9.",Math / Mathematics,Equations
What is 60% of 900?,540,560,520,525,A,60% of 900 = (60/100) × 900 = 540.,Math / Mathematics,Percentage
What is 30% of 1420?,411,406,426,416,C,30% of 1420 = (30/100) × 1420 = 426.,Math / Mathematics,Percentage
What is 2772 ÷ 28?,103,98,99,94,C,"2772 ÷ 28 = 99, since 28 × 99 = 2772.",Math / Mathematics,Division
What is 51 × 17?,857,867,877,866,B,51 × 17 = 867.,Math / Mathematics,Multiplication
What is 2/2 + 5/5 (in simplest form)?,3/2,0/2,2/1,4/2,C,2/2 + 5/5 = 2 = 2/1 in simplest form.,Math / Mathematics,Fractions
What is 8505 - 7153?,1354,1352,1342,1350,B,8505 - 7153 = 1352.,Math / Mathematics,Subtraction
What is 107.35 + 188.44?,295.79,297.79,293.79,295.69,A,107.35 + 188.44 = 295.79.,Math / Mathematics,Decimals
What is 50 × 83?,4150,4151,4149,4160,A,50 × 83 = 4150.,Math / Mathematics,Multiplication
What is 15% of 20?,3,18,-4.0,8,A,15% of 20 = (15/100) × 20 = 3.,Math / Mathematics,Percentage
Which symbol correctly compares -195 and 110? (-195 ___ 110),=,<,>,≥,B,-195 < 110.,Math / Mathematics,Comparison
What is 33.87 + 171.4?,205.17,205.37,205.77,205.27,D,33.87 + 171.4 = 205.27.,Math / Mathematics,Decimals
Which symbol correctly compares -65 and 147? (-65 ___ 147),≥,<,>,=,B,-65 < 147.,Math / Mathematics,Comparison
Which symbol correctly compares -148 and 252? (-148 ___ 252),≥,<,=,>,B,-148 < 252.,Math / Mathematics,Comparison
What is 164.68 - 15.15?,147.53,149.63,149.53,148.53,C,164.68 - 15.15 = 149.53.,Math / Mathematics,Decimals
What is 4782 - 1317?,3466,3470,3465,3460,C,4782 - 1317 = 3465.,Math / Mathematics,Subtraction
What is 3/5 + 4/4 (in simplest form)?,7/6,8/5,7/4,9/5,B,3/5 + 4/4 = 8/5 = 8/5 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares -156 and -345? (-156 ___ -345),≥,<,=,>,D,-156 > -345.,Math / Mathematics,Comparison
What is 3/3 + 8/5 (in simplest form)?,15/7,15/4,13/5,14/7,C,3/3 + 8/5 = 13/5 = 13/5 in simplest form.,Math / Mathematics,Fractions
What is 4/12 + 8/9 (in simplest form)?,9/8,9/10,9/11,11/9,D,4/12 + 8/9 = 11/9 = 11/9 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 128 and -222? (128 ___ -222),≥,=,>,<,C,128 > -222.,Math / Mathematics,Comparison
What is 2408 ÷ 14?,171,172,173,170,B,"2408 ÷ 14 = 172, since 14 × 172 = 2408.",Math / Mathematics,Division
Which symbol correctly compares -4 and 125? (-4 ___ 125),≥,=,>,<,D,-4 < 125.,Math / Mathematics,Comparison
What is 131.56 + 85.48?,216.04,217.54,219.04,217.04,D,131.56 + 85.48 = 217.04.,Math / Mathematics,Decimals
What is 8610 + 2122?,10732,10722,10731,10737,A,8610 + 2122 = 10732.,Math / Mathematics,Addition
What is 65 × 98?,6368,6369,6370,6468,C,65 × 98 = 6370.,Math / Mathematics,Multiplication
Solve for x: 3x + (11) = 35,9,8,5,6,B,"3x = 35 - (11) = 24, so x = 24/3 = 8.",Math / Mathematics,Equations
Solve for x: 5x + (47) = -13,-14,-9,-11,-12,D,"5x = -13 - (47) = -60, so x = -60/5 = -12.",Math / Mathematics,Equations
What is 45.54 + 129.57?,175.21,174.11,175.11,176.11,C,45.54 + 129.57 = 175.11.,Math / Mathematics,Decimals
What is 86 × 97?,8352,8342,8256,8245,B,86 × 97 = 8342.,Math / Mathematics,Multiplication
Which symbol correctly compares -455 and -321? (-455 ___ -321),>,=,≥,<,D,-455 < -321.,Math / Mathematics,Comparison
Which symbol correctly compares -227 and -494? (-227 ___ -494),≥,>,<,=,B,-227 > -494.,Math / Mathematics,Comparison
What is 10% of 1830?,183,198,178,193,A,10% of 1830 = (10/100) × 1830 = 183.,Math / Mathematics,Percentage
Which symbol correctly compares -12 and 131? (-12 ___ 131),≥,>,<,=,C,-12 < 131.,Math / Mathematics,Comparison
Solve for x: 8x + (-45) = -197,-23,-22,-15,-19,D,"8x = -197 - (-45) = -152, so x = -152/8 = -19.",Math / Mathematics,Equations
What is 5676 ÷ 44?,126,132,134,129,D,"5676 ÷ 44 = 129, since 44 × 129 = 5676.",Math / Mathematics,Division
What is 102.83 - 53.85?,48.88,48.48,48.98,49.48,C,102.83 - 53.85 = 48.98.,Math / Mathematics,Decimals
Solve for x: 6x + (-9) = -45,-7,-9,-6,-4,C,"6x = -45 - (-9) = -36, so x = -36/6 = -6.",Math / Mathematics,Equations
What is 6/7 + 7/3 (in simplest form)?,65/21,69/22,65/22,67/21,D,6/7 + 7/3 = 67/21 = 67/21 in simplest form.,Math / Mathematics,Fractions
Solve for x: 6x + (4) = 34,8,2,5,1,C,"6x = 34 - (4) = 30, so x = 30/6 = 5.",Math / Mathematics,Equations
What is 1867 + 4119?,5981,5988,5986,5984,C,1867 + 4119 = 5986.,Math / Mathematics,Addition
Solve for x: 3x + (27) = 63,8,12,15,14,B,"3x = 63 - (27) = 36, so x = 36/3 = 12.",Math / Mathematics,Equations
What is 71.65 - 9.18?,64.47,62.47,61.97,63.47,B,71.65 - 9.18 = 62.47.,Math / Mathematics,Decimals
What is 1143 + 3070?,4223,4213,4233,4212,B,1143 + 3070 = 4213.,Math / Mathematics,Addition
What is 3120 ÷ 16?,191,197,192,195,D,"3120 ÷ 16 = 195, since 16 × 195 = 3120.",Math / Mathematics,Division
What is 99 × 28?,2762,2772,2673,2774,B,99 × 28 = 2772.,Math / Mathematics,Multiplication
What is 7169 + 9085?,16256,16255,16274,16254,D,7169 + 9085 = 16254.,Math / Mathematics,Addition
