Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
13608,"Fill in the blank: ______ refers to ""to inform users and developers of what has changed, been fixed, or been added in a new software version"".",software documentation,a software requirement specification (SRS),a changelog entry's purpose,a webhook,C,"a changelog entry's purpose refers to: to inform users and developers of what has changed, been fixed, or been added in a new software version",Software,Software Development
13609,"Which term matches this description: ""an output device that converts electrical signals into audible sound""?",a speaker,a solid-state drive (SSD),Bluetooth,a SIM card,A,The description matches a speaker: an output device that converts electrical signals into audible sound,Hardware,Output Devices
13610,"Fill in the blank: ______ refers to ""AI applications designed to automatically answer questions posed in natural language"".",an AI-powered search engine,an AI-generated caption,AI in agriculture,question answering systems,D,question answering systems refers to: AI applications designed to automatically answer questions posed in natural language,AI – Artificial Intelligence,AI Applications
13611,"A classifier has 183 true positives, 87 true negatives, 39 false positives, and 24 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.71,0.51,0.61,0.81,D,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (183+87)/(183+87+39+24) = 0.81.,ML – Machine Learning,Model Evaluation
13612,"Fill in the blank: ______ refers to ""a freestanding bell tower in Italy famous for its unintended tilt"".",the Statue of Liberty,Big Ben,the Great Wall of China,the Leaning Tower of Pisa,D,the Leaning Tower of Pisa refers to: a freestanding bell tower in Italy famous for its unintended tilt,General Knowledge (GK),Landmarks
13613,Which statement correctly describes LBW (Leg Before Wicket)?,"an Australian cricketer regarded as the greatest Test batsman ever, with a Test batting average of 99.94","an international One Day International cricket championship held every four years, organised by the ICC","a fielding position between slip and point, close to the batsman",a mode of dismissal where the ball would have hit the stumps but was blocked by the batsman's leg,D,"By definition, LBW (Leg Before Wicket) is: a mode of dismissal where the ball would have hit the stumps but was blocked by the batsman's leg",Cricket,Rules
13614,A quantity of 386 is increased by 50%. What is the new value?,579,589,599,574,A,"50% of 386 = 193. Since it increased, new value = 386 + 193 = 579.",Aptitude,Percentage
13615,"Which term matches this description: ""a design approach that begins with designing for the smallest screen size before scaling up to larger screens""?",normalize.css,a CSS reset stylesheet,a CSS selector,mobile-first design,D,The description matches mobile-first design: a design approach that begins with designing for the smallest screen size before scaling up to larger screens,Web Development,CSS
13616,"In each row, the third number is the product of the first two: [7, 11, 77], [13, 8, 104], [2, 12, ?]. Find the missing number.",34,24,22,26,B,"Following the pattern, the missing number = 2 × 12 = 24.",Puzzles,Pattern Puzzle
13617,"White has 2 pawns, 1 knight, 2 bishops, 1 rook, 1 queen. Black has 7 pawns. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 17 point(s),White is ahead by 21 point(s),White is ahead by 18 point(s),White is ahead by 20 point(s),C,"White's material = 25. Black's material = 7. Difference = 18, so White is ahead by 18 point(s).",Chess,Piece Values
13618,What is 15% of 500?,65,70,75,80,C,15% of 500 = (15/100) × 500 = 75.,Math / Mathematics,Percentage
13619,Which event happened closest to the year 1903?,The partition of India,The Wright Brothers' first flight,The beginning of the Renaissance,The Battle of Hastings,B,The Wright Brothers' first flight occurred in approximately 1903.,History,Modern History
13620,"Fill in the blank: ______ refers to ""a mineral essential for producing haemoglobin, which carries oxygen in the blood"".",the human nervous system,iron's role in the body,a balanced diet,the human heart,B,"iron's role in the body refers to: a mineral essential for producing haemoglobin, which carries oxygen in the blood",Science,Human Body
13621,What is an elliptical galaxy?,"the nearest large galaxy to the Milky Way, expected to collide with it in billions of years","a huge system of stars, gas, dust, and dark matter bound together by gravity","a galaxy that lacks a distinct regular shape, often due to gravitational interactions with other galaxies","a galaxy with a smooth, featureless, ellipsoidal shape and little ongoing star formation",D,"an elliptical galaxy is: a galaxy with a smooth, featureless, ellipsoidal shape and little ongoing star formation",Space,Galaxies
13622,What is the English meaning of the Kannada word 'ಅನ್ನ'?,rice (cooked),sentence,rice (uncooked),snow/frost,A,'ಅನ್ನ' means 'rice (cooked)' in English.,Kannada Subjects,Vocabulary
13623,Choose the word that is opposite in meaning to 'thick':,thin,quiet,scatter,poor,A,'thin' is opposite in meaning to 'thick'.,English Subjects,Antonyms
13624,Andhra Pradesh is located in which region of India?,West India,Central India,South India,North India,C,Andhra Pradesh is located in South India.,Social Science,Indian Geography
13625,What is pseudocode?,"an informal, high-level description of a program's logic, not written in any specific programming language",a linear data structure that follows the First-In-First-Out (FIFO) principle,"a small, reusable block of source code that performs a specific function",a linear data structure that follows the Last-In-First-Out (LIFO) principle,A,"pseudocode is: an informal, high-level description of a program's logic, not written in any specific programming language",Software,Programming
13626,Which statement correctly describes a barcode scanner?,"a type of mouse that uses a light source and sensor to detect movement, rather than a mechanical ball",an input device used to convert physical documents or images into digital format,"a device that captures and identifies unique physical characteristics, such as fingerprints, for authentication",an input device used to read and decode information stored in barcodes,D,"By definition, a barcode scanner is: an input device used to read and decode information stored in barcodes",Hardware,Input Devices
13627,What is an AI model's inference stage?,a mathematical function that measures the difference between a model's predictions and the actual target values,a software framework used to systematically test and score an AI model's performance on various tasks,"the external system with which an AI agent interacts, providing states, actions, and rewards","the phase in which a trained model is used to make predictions on new, unseen data",D,"an AI model's inference stage is: the phase in which a trained model is used to make predictions on new, unseen data",AI – Artificial Intelligence,AI Basics
13628,"Fill in the blank: ______ refers to ""a tool that chains together multiple data processing and modelling steps into a single workflow"".",NumPy,PyTorch,a pipeline (in scikit-learn),pandas,C,a pipeline (in scikit-learn) refers to: a tool that chains together multiple data processing and modelling steps into a single workflow,ML – Machine Learning,ML Tools
13629,"Which term matches this description: ""an international award given annually in fields including Physics, Chemistry, Medicine, Literature, Peace, and Economics, established by Alfred Nobel's will""?",the Oscars,the Bharat Ratna,the Booker Prize,the Nobel Prize,D,"The description matches the Nobel Prize: an international award given annually in fields including Physics, Chemistry, Medicine, Literature, Peace, and Economics, established by Alfred Nobel's will",General Knowledge (GK),Awards
13630,A team scores at a run rate of 4.29 runs per over for 21 overs. Approximately how many runs have they scored?,85,105,95,90,D,Runs ≈ Run rate × Overs = 4.29 × 21 ≈ 90 runs.,Cricket,Scoring Calculations
13631,"Two numbers are in the ratio 12:3. If their sum is 90, find the larger number.",75,72,82,77,B,Total parts = 12+3 = 15. Each part = 90/15 = 6. Larger number = 12 × 6 = 72.,Aptitude,Ratios
13632,"Which term matches this description: ""a navigation icon consisting of three horizontal lines, commonly used to toggle a menu on mobile websites""?",state management (in frontend development),the useState hook (in React),Angular,a hamburger menu,D,"The description matches a hamburger menu: a navigation icon consisting of three horizontal lines, commonly used to toggle a menu on mobile websites",Web Development,Frontend
13633,"Which number is the odd one out: 30, 85, 102, 55?",85,102,30,55,B,102 is the odd one out because it is not a multiple of 5; the rest are.,Puzzles,Odd One Out
13634,"White has 6 pawns, 1 knight, 1 queen. Black has 3 pawns, 2 knights, 1 bishop, 1 rook, 1 queen. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 8 point(s),Black is ahead by 7 point(s),White is ahead by 11 point(s),White is ahead by 7 point(s),A,"White's material = 18. Black's material = 26. Difference = 8, so Black is ahead by 8 point(s).",Chess,Piece Values
13635,What is 96 × 91?,8738,8736,8832,8734,B,96 × 91 = 8736.,Math / Mathematics,Multiplication
13636,Which event happened closest to the year 1347?,The abolition of slavery in the British Empire,The storming of the Bastille,The Protestant Reformation,The Black Death,D,The Black Death occurred in approximately 1347.,History,Medieval History
13637,What is the chemical symbol for Neon?,Ne,He,Tc,Ce,A,The chemical symbol for Neon is Ne.,Science,Periodic Table
13638,Which of these is a moon of Jupiter?,Titania,Europa,Enceladus,Amalthea,D,Amalthea orbits Jupiter.,Space,Moons
13639,Which statement correctly describes the official language of Karnataka?,"the language family to which Kannada belongs, along with Tamil, Telugu, and Malayalam","the state of Karnataka in southern India, along with parts of neighbouring states","Kannada, which is also one of the classical languages recognised by the Government of India",Kannada was officially recognised as a Classical Language of India by the Government of India in 2008,C,"By definition, the official language of Karnataka is: Kannada, which is also one of the classical languages recognised by the Government of India",Kannada Subjects,Kannada Language
13640,'end' is a antonym of which word?,raise,rich,begin,genuine,C,'end' is opposite in meaning to 'begin'.,English Subjects,Antonyms
13641,What is the term 'no-confidence motion'?,a parliamentary motion testing whether the government still holds majority support in the legislature,the power of courts to examine and invalidate laws or government actions that are unconstitutional,"a form of government with a king or queen as head of state, either as a ceremonial figure or with substantial powers",an electoral system in which parties gain seats in proportion to the number of votes they receive,A,the term 'no-confidence motion' is: a parliamentary motion testing whether the government still holds majority support in the legislature,Social Science,Civics
13642,"Fill in the blank: ______ refers to ""a standard programming language used to manage and manipulate relational databases"".",SQL (Structured Query Language),binary search,inheritance in OOP,a sorting algorithm,A,SQL (Structured Query Language) refers to: a standard programming language used to manage and manipulate relational databases,Software,Programming
13643,How many Terabyte (TB)s is 2 Gigabyte (GB)(s) equal to?,0.00390625,0.00195312,1.95313e-06,0.000195313,B,"1 Gigabyte (GB) = 1024^-1 Terabyte (TB)(s) (relative scale), so 2 Gigabyte (GB)(s) = 0.00195312 Terabyte (TB)(s).",Hardware,Storage Units
13644,What is chain-of-thought prompting?,a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer,an AI application that creates images from written text descriptions,an AI technique that applies the visual style of one image to the content of another,"instructions given to an AI model before user interaction begins, shaping its behaviour and tone",A,chain-of-thought prompting is: a technique that encourages a language model to explain its reasoning step-by-step before giving a final answer,AI – Artificial Intelligence,Generative AI
13645,What is k-nearest neighbours (KNN)?,a classification task involving more than two possible output classes,"a supervised learning model that makes predictions by splitting data based on feature values, forming a tree-like structure",a simple supervised learning algorithm that classifies data points based on the majority class of their nearest neighbours,"a measure used to evaluate the quality of a split in a decision tree, based on the impurity of resulting subsets",C,k-nearest neighbours (KNN) is: a simple supervised learning algorithm that classifies data points based on the majority class of their nearest neighbours,ML – Machine Learning,Classification
13646,A traveller lands in Doha. Which country are they most likely visiting?,Ghana,Qatar,Sudan,Jordan,B,Doha is the capital city of Qatar.,General Knowledge (GK),Countries and Capitals
13647,A team scores at a run rate of 4.32 runs per over for 22 overs. Approximately how many runs have they scored?,80,115,75,95,D,Runs ≈ Run rate × Overs = 4.32 × 22 ≈ 95 runs.,Cricket,Scoring Calculations
13648,A vehicle covers 155 km at a speed of 31 km/h. How long does it take?,8,7,5,4,C,Distance = Speed × Time = 31 × 5 = 155 km. So the answer is 5 hours.,Aptitude,Time and Distance
13649,"Which term matches this description: ""the technique of managing navigation between different views or pages without a full page reload""?",routing (in single-page applications),a hamburger menu,a component (in frontend frameworks),React,A,The description matches routing (in single-page applications): the technique of managing navigation between different views or pages without a full page reload,Web Development,Frontend
13650,"In each row, the third number is the product of the first two: [14, 7, 98], [9, 12, 108], [2, 11, ?]. Find the missing number.",22,24,28,18,A,"Following the pattern, the missing number = 2 × 11 = 22.",Puzzles,Pattern Puzzle
13651,"White has 8 pawns, 2 knights, 2 bishops, 1 rook, 1 queen. Black has 2 pawns, 1 bishop, 2 rooks. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 18 point(s),White is ahead by 20 point(s),White is ahead by 19 point(s),White is ahead by 16 point(s),C,"White's material = 34. Black's material = 15. Difference = 19, so White is ahead by 19 point(s).",Chess,Piece Values
13652,What is 3437 - 804?,2633,2628,2643,2631,A,3437 - 804 = 2633.,Math / Mathematics,Subtraction
13653,In which year did The Industrial Revolution take place (approximately)?,1740,1750,1760,1780,C,The Industrial Revolution took place in approximately 1760.,History,Modern History
13654,"Which term matches this description: ""the scientist known as the father of modern genetics for his work on pea plant inheritance""?",vaccination,Charles Darwin's theory of evolution,Edward Jenner,Gregor Mendel,D,The description matches Gregor Mendel: the scientist known as the father of modern genetics for his work on pea plant inheritance,Science,Discoveries
13655,"Fill in the blank: ______ refers to ""the physical space that exists between star systems within a galaxy"".",the Kármán line,cosmic microwave background radiation,interstellar space,an orbit,C,interstellar space refers to: the physical space that exists between star systems within a galaxy,Space,Astronomy
13656,Which Kannada word means 'bicycle'?,ಆಡುವುದು,ಭಾಷೆ,ಮಾವು,ಸೈಕಲ್,D,'ಸೈಕಲ್' means 'bicycle' in English.,Kannada Subjects,Vocabulary
13657,Which word is similar in meaning to 'frigid'?,cold,cry,jump,true,A,'cold' is similar in meaning to 'frigid'.,English Subjects,Synonyms
13658,"Which term matches this description: ""an opening in the Earth's crust through which molten rock, ash, and gases can escape""?",plate tectonics,a volcano,a plateau,the savanna biome,B,"The description matches a volcano: an opening in the Earth's crust through which molten rock, ash, and gases can escape",Social Science,Geography
13659,"Which file extension is typically used for an eXtensible Markup Language file, used for structured data?",.json,.py,.xml,.sh,C,"Files that are an eXtensible Markup Language file, used for structured data typically use the extension '.xml'.",Software,File Formats
13660,Which statement correctly describes an optical disc?,"a storage medium, such as a CD or DVD, that uses laser technology to read and write data","an output device that displays an image or video onto a larger surface, such as a screen or wall","a device that converts digital data back into analog signals, such as for audio output",a networking device that forwards data packets between computer networks,A,"By definition, an optical disc is: a storage medium, such as a CD or DVD, that uses laser technology to read and write data",Hardware,Storage Devices
13661,"Fill in the blank: ______ refers to ""a ranking system that compares the performance of different AI models on specific benchmarks or tasks"".",an AI leaderboard,backpropagation,a confusion matrix,a sigmoid activation function,A,an AI leaderboard refers to: a ranking system that compares the performance of different AI models on specific benchmarks or tasks,AI – Artificial Intelligence,AI Basics
13662,A classifier has 10 true positives and 43 false positives. What is its precision (rounded to 2 decimal places)?,0.19,0.09,0.00,0.34,A,Precision = TP / (TP + FP) = 10 / (10 + 43) = 0.19.,ML – Machine Learning,Model Evaluation
13663,"Which term matches this description: ""annual awards, officially the Academy Awards, honouring achievement in the film industry""?",the Grammy Awards,the Padma Shri,the Oscars,the Pulitzer Prize,C,"The description matches the Oscars: annual awards, officially the Academy Awards, honouring achievement in the film industry",General Knowledge (GK),Awards
13664,A team scores at a run rate of 4.06 runs per over for 17 overs. Approximately how many runs have they scored?,89,69,49,84,B,Runs ≈ Run rate × Overs = 4.06 × 17 ≈ 69 runs.,Cricket,Scoring Calculations
13665,Find the Simple Interest on ₹33054 at 5% per annum for 4 years.,6411,6811,6611,6311,C,SI = (P × R × T)/100 = (33054 × 5 × 4)/100 = ₹6611.,Aptitude,Simple Interest
13666,Which statement correctly describes responsive web design?,a utility-first CSS framework that provides low-level classes for building custom designs directly in HTML,a design approach that begins with designing for the smallest screen size before scaling up to larger screens,a design approach ensuring web pages render well across a variety of devices and screen sizes,the practice of arranging and styling text on web pages for readability and visual appeal,C,"By definition, responsive web design is: a design approach ensuring web pages render well across a variety of devices and screen sizes",Web Development,CSS
13667,"Which number is the odd one out: 41, 5, 13, 26?",5,41,26,13,C,26 is the odd one out because it is not a prime number; the rest are prime.,Puzzles,Odd One Out
13668,"White has 3 pawns, 2 bishops, 1 queen. Black has 6 pawns, 2 knights, 1 bishop, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 5 point(s),Black is ahead by 6 point(s),Black is ahead by 8 point(s),Black is ahead by 3 point(s),B,"White's material = 18. Black's material = 24. Difference = 6, so Black is ahead by 6 point(s).",Chess,Piece Values
13669,What is 12% of 800?,111,116,96,91,C,12% of 800 = (12/100) × 800 = 96.,Math / Mathematics,Percentage
13670,Which event happened closest to the year -261?,The founding of the Indian National Congress,The signing of the Magna Carta,The Kalinga War,The Great Depression,C,The Kalinga War occurred in approximately -261.,History,Ancient History
13671,"Which term matches this description: ""the spontaneous emission of radiation from unstable atomic nuclei""?",an insulator,nuclear fusion,resistance in an electrical circuit,radioactivity,D,The description matches radioactivity: the spontaneous emission of radiation from unstable atomic nuclei,Science,Physics
13672,Which meteor shower is associated with Comet Encke?,Orionids,Geminids,Eta Aquariids,Taurids,D,The Taurids meteor shower is associated with Comet Encke.,Space,Meteor Showers
13673,What is the English meaning of the Kannada word 'ಹೂವು'?,one,flower,Sunday,nine,B,'ಹೂವು' means 'flower' in English.,Kannada Subjects,Vocabulary
13674,Which word is similar in meaning to 'converse'?,light,talk,brave,run,B,'talk' is similar in meaning to 'converse'.,English Subjects,Synonyms
13675,"Fill in the blank: ______ refers to ""an official appointed to investigate individuals' complaints against maladministration, especially in government institutions"".",proportional representation,a by-election,the Rajya Sabha,the term 'ombudsman',D,"the term 'ombudsman' refers to: an official appointed to investigate individuals' complaints against maladministration, especially in government institutions",Social Science,Civics
13676,What is a stack (data structure)?,a value in a program that does not change during execution,a linear data structure that follows the Last-In-First-Out (LIFO) principle,"a formal language comprising a set of instructions used to produce various kinds of output, such as software programs",a mechanism by which one class can acquire properties and behaviours from another class,B,a stack (data structure) is: a linear data structure that follows the Last-In-First-Out (LIFO) principle,Software,Programming
13677,How many Terabyte (TB)s is 21 Byte(s) equal to?,1.86517e-14,3.81988e-11,1.90994e-11,1.90994e-12,C,"1 Byte = 1024^-4 Terabyte (TB)(s) (relative scale), so 21 Byte(s) = 1.90994e-11 Terabyte (TB)(s).",Hardware,Storage Units
13678,In which year did the following AI milestone occur: 'ChatGPT released'?,2025,2024,2020,2022,D,'ChatGPT released' occurred in 2022.,AI – Artificial Intelligence,AI History and Milestones
13679,"A classifier has 79 true positives, 93 true negatives, 15 false positives, and 16 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.85,0.70,0.95,0.75,A,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (79+93)/(79+93+15+16) = 0.85.,ML – Machine Learning,Model Evaluation
13680,Naypyidaw is the capital city of which country?,Oman,Iran,Myanmar,New Zealand,C,Naypyidaw is the capital of Myanmar.,General Knowledge (GK),Countries and Capitals
13681,A team needs 47 runs to win from 8.4 overs remaining. What is the required run rate (runs per over)?,4.60,5.60,3.60,6.10,B,Required run rate = Runs needed / Overs remaining = 47 / 8.4 ≈ 5.60.,Cricket,Scoring Calculations
13682,A vehicle covers 60 km in 1 hours. What is its speed?,59,55,63,60,D,Distance = Speed × Time = 60 × 1 = 60 km. So the answer is 60 km/h.,Aptitude,Time and Distance
13683,"Which term matches this description: ""a testing environment that closely mirrors a live website, used to test changes before public release""?",a staging environment (in web development),caching (in web development),website hosting,browser caching (of static assets),A,"The description matches a staging environment (in web development): a testing environment that closely mirrors a live website, used to test changes before public release",Web Development,General Web Development
13684,"Find the next number in the sequence: 35, 50, 65, 80, 95, ?",124,140,108,110,D,Each term increases by 15. Next term = 95 + 15 = 110.,Puzzles,Number Sequence
13685,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 5 pawns, 2 knights, 2 bishops?",14,19,17,16,C,Total value = 5×1 + 2×3 + 2×3 = 17.,Chess,Piece Values
13686,What is 44.86 - 25.18?,21.68,19.58,19.78,19.68,D,44.86 - 25.18 = 19.68.,Math / Mathematics,Decimals
13687,"Fill in the blank: ______ refers to ""the dictator of Nazi Germany whose policies led to World War II and the Holocaust"".",Adolf Hitler,Winston Churchill,the Potsdam Conference,Pearl Harbor,A,Adolf Hitler refers to: the dictator of Nazi Germany whose policies led to World War II and the Holocaust,History,Modern History
13688,"Which term matches this description: ""a substance that speeds up a chemical reaction without being consumed in the process""?",an ionic bond,an endothermic reaction,a catalyst,a base (alkali),C,The description matches a catalyst: a substance that speeds up a chemical reaction without being consumed in the process,Science,Chemistry
13689,Which statement correctly describes Sagittarius A*?,the supermassive black hole located at the centre of the Milky Way galaxy,the point in an orbit where a planet or object is farthest from the Sun,"the point in Earth's orbit where it is closest to the Sun, occurring around early January",the physical space that exists between star systems within a galaxy,A,"By definition, Sagittarius A* is: the supermassive black hole located at the centre of the Milky Way galaxy",Space,Astronomy
13690,"Fill in the blank: ______ refers to ""vowel sounds in the Kannada alphabet"".",a Kannada noun (naama pada),the honorific suffix '-avaru' in Kannada,swara (in Kannada grammar),the visarga in Kannada script,C,swara (in Kannada grammar) refers to: vowel sounds in the Kannada alphabet,Kannada Subjects,Kannada Grammar
13691,Choose the word that is similar in meaning to 'break':,shallow,conceal,renowned,shatter,D,'shatter' is similar in meaning to 'break'.,English Subjects,Synonyms
13692,The Mississippi river primarily flows through which country/region?,Europe,United States,China,India/Pakistan,B,The Mississippi flows primarily through United States.,Social Science,Rivers of the World
13693,"Fill in the blank: ______ refers to ""a set of rules that allows different software applications to communicate with each other"".",integration testing,an API (Application Programming Interface),a repository (in version control),a prototype in software development,B,an API (Application Programming Interface) refers to: a set of rules that allows different software applications to communicate with each other,Software,Software Development
13694,How many Bytes is 30 Terabyte (TB)(s) equal to?,3.3777e+16,3.29853e+12,3.29853e+13,1.64927e+13,C,"1 Terabyte (TB) = 1024^4 Byte(s) (relative scale), so 30 Terabyte (TB)(s) = 3.29853e+13 Byte(s).",Hardware,Storage Units
13695,Which statement correctly describes multimodal AI?,"software that uses generative AI to automatically produce written, visual, or audio content",a decoding strategy where the model chooses the next word from only the k most likely candidates,"AI systems capable of processing and generating multiple types of data, such as text, images, and audio together",a large AI model trained on broad data that can be adapted to a wide range of downstream tasks,C,"By definition, multimodal AI is: AI systems capable of processing and generating multiple types of data, such as text, images, and audio together",AI – Artificial Intelligence,Generative AI
13696,"A classifier has 29 true positives, 171 true negatives, 9 false positives, and 2 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.80,1.00,0.85,0.95,D,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (29+171)/(29+171+9+2) = 0.95.,ML – Machine Learning,Model Evaluation
13697,A traveller lands in Beirut. Which country are they most likely visiting?,Lebanon,Japan,France,Morocco,A,Beirut is the capital city of Lebanon.,General Knowledge (GK),Countries and Capitals
13698,A team needs 111 runs to win from 17.6 overs remaining. What is the required run rate (runs per over)?,5.31,6.31,4.31,4.81,B,Required run rate = Runs needed / Overs remaining = 111 / 17.6 ≈ 6.31.,Cricket,Scoring Calculations
13699,A vehicle travels at 28 km/h for 1 hours. What distance does it cover?,26,28,27,30,B,Distance = Speed × Time = 28 × 1 = 28 km. So the answer is 28 km.,Aptitude,Time and Distance
13700,Which statement correctly describes JWT (JSON Web Token)?,an HTTP status code indicating an internal server error occurred while processing the request,a security tool that monitors and filters HTTP traffic between a web application and the internet,a query language for APIs that allows clients to request exactly the data they need,"a compact, URL-safe means of representing claims to be transferred between two parties, often used for authentication",D,"By definition, JWT (JSON Web Token) is: a compact, URL-safe means of representing claims to be transferred between two parties, often used for authentication",Web Development,Backend
13701,"Find the next number in the sequence: 10, 16, 26, 42, 68, ?",106,113,105,110,D,Each number is the sum of the two before it. Next = 42 + 68 = 110.,Puzzles,Number Sequence
13702,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 8 pawns, 1 bishop, 2 rooks, 1 queen?",30,26,27,33,A,Total value = 8×1 + 1×3 + 2×5 + 1×9 = 30.,Chess,Piece Values
13703,Solve for x: 12x + (-13) = 35,3,1,4,8,C,"12x = 35 - (-13) = 48, so x = 48/12 = 4.",Math / Mathematics,Equations
13704,What is Dr. Manmohan Singh?,"a 1946 British plan proposing a federal structure for a united, independent India, which ultimately failed to prevent partition",a 1954 treaty between India and China outlining five principles of peaceful coexistence,"India's nuclear weapon tests, conducted in 1974 and 1998, at Pokhran in Rajasthan","an Indian Prime Minister and economist who, as Finance Minister in 1991, led key economic liberalisation reforms",D,"Dr. Manmohan Singh is: an Indian Prime Minister and economist who, as Finance Minister in 1991, led key economic liberalisation reforms",History,Indian History
13705,What is a consumer in an ecosystem?,"the transfer of pollen from the male part of a flower to the female part, enabling fertilisation","the process by which living organisms convert oxygen and glucose into energy, releasing carbon dioxide and water",animals that possess a backbone or spinal column,an organism that obtains energy by eating other organisms,D,a consumer in an ecosystem is: an organism that obtains energy by eating other organisms,Science,Biology
13706,What is the Hubble Space Telescope?,a NASA space telescope designed to detect X-ray emissions from very hot regions of the universe,a telescope that uses mirrors to gather and focus light,a space telescope launched in 1990 that has provided detailed images of distant galaxies and nebulae,"a powerful infrared space telescope launched in 2021, designed to study the early universe",C,the Hubble Space Telescope is: a space telescope launched in 1990 that has provided detailed images of distant galaxies and nebulae,Space,Telescopes
13707,Which statement correctly describes the historic city of Badami?,"Kittur, a small kingdom in present-day Karnataka, known for Rani Chennamma's early resistance against British rule","a town in Karnataka renowned for the Chennakeshava Temple, built during the Hoysala period","a town in Karnataka known for its rock-cut cave temples, once the capital of the Chalukya dynasty","widely believed to derive from 'karu nadu', meaning 'lofty/black land' or 'elevated land', referring to the region's terrain",C,"By definition, the historic city of Badami is: a town in Karnataka known for its rock-cut cave temples, once the capital of the Chalukya dynasty",Kannada Subjects,Kannada History
13708,Choose the word that is similar in meaning to 'clever':,assist,cunning,retain,reply,B,'cunning' is similar in meaning to 'clever'.,English Subjects,Synonyms
13709,"Which term matches this description: ""the gap between a government's total expenditure and its total revenue (excluding borrowings) in a given year""?",the informal sector of the economy,the Consumer Protection Act,the stock market,a fiscal deficit,D,The description matches a fiscal deficit: the gap between a government's total expenditure and its total revenue (excluding borrowings) in a given year,Social Science,Economics
13710,What is an array?,an error detected during the compilation process that prevents source code from being converted into an executable program,"a programming paradigm based on the concept of objects, which contain data and methods",a mathematical notation used to describe the efficiency or complexity of an algorithm,"a data structure that stores a collection of elements, typically of the same type, in a contiguous block of memory",D,"an array is: a data structure that stores a collection of elements, typically of the same type, in a contiguous block of memory",Software,Programming
13711,How many Kilobyte (KB)s is 31 Megabyte (MB)(s) equal to?,3.1744e+07,63488,31744,317440,C,"1 Megabyte (MB) = 1024^1 Kilobyte (KB)(s) (relative scale), so 31 Megabyte (MB)(s) = 31744 Kilobyte (KB)(s).",Hardware,Storage Units
13712,"Which term matches this description: ""a group of interconnected computers, often equipped with GPUs, used to train large AI models""?",a pretrained model,an AI compute cluster,word embeddings,the term 'artificial general intelligence' (AGI),B,"The description matches an AI compute cluster: a group of interconnected computers, often equipped with GPUs, used to train large AI models",AI – Artificial Intelligence,AI Basics
13713,A classifier has 72 true positives and 93 false positives. What is its precision (rounded to 2 decimal places)?,0.14,0.64,0.74,0.44,D,Precision = TP / (TP + FP) = 72 / (72 + 93) = 0.44.,ML – Machine Learning,Model Evaluation
13714,A traveller lands in Naypyidaw. Which country are they most likely visiting?,Morocco,Argentina,Myanmar,Cuba,C,Naypyidaw is the capital city of Myanmar.,General Knowledge (GK),Countries and Capitals
13715,A team needs 64 runs to win from 2.7 overs remaining. What is the required run rate (runs per over)?,24.20,23.70,25.70,22.20,B,Required run rate = Runs needed / Overs remaining = 64 / 2.7 ≈ 23.70.,Cricket,Scoring Calculations
13716,Find the Simple Interest on ₹18362 at 4% per annum for 4 years.,2838,2738,3238,2938,D,SI = (P × R × T)/100 = (18362 × 4 × 4)/100 = ₹2938.,Aptitude,Simple Interest
13717,Which statement correctly describes the cascade (in CSS)?,the practice of arranging and styling text on web pages for readability and visual appeal,"a property that defines how the width and height of an element are calculated, including or excluding padding and border",a specific screen width at which a website's layout changes to adapt to different devices,the process by which browsers determine which CSS rule applies when multiple rules could apply to the same element,D,"By definition, the cascade (in CSS) is: the process by which browsers determine which CSS rule applies when multiple rules could apply to the same element",Web Development,CSS
13718,What is the angle between the hour and minute hands of a clock at 10:55?,47.5°,17.5°,2.5°,42.5°,C,Angle = |30×hour − 5.5×minute| = |30×10 − 5.5×55| = 2.5° (taking the smaller angle).,Puzzles,Clock Puzzles
13719,"White has 2 pawns, 2 rooks, 1 queen. Black has 5 pawns, 2 knights, 1 rook, 1 queen. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 1 point(s),Black is ahead by 7 point(s),Black is ahead by 4 point(s),White is ahead by 5 point(s),C,"White's material = 21. Black's material = 25. Difference = 4, so Black is ahead by 4 point(s).",Chess,Piece Values
13720,What is 40% of 1140?,471,456,466,436,B,40% of 1140 = (40/100) × 1140 = 456.,Math / Mathematics,Percentage
13721,"Which historical event is described as: ""a key event of the French Revolution symbolising the uprising against the monarchy""?",The Industrial Revolution,The storming of the Bastille,The invention of the printing press,The Protestant Reformation,B,This describes The storming of the Bastille: a key event of the French Revolution symbolising the uprising against the monarchy.,History,Modern History
